ticker,date,shares_outstanding,float_shares,iwf
AFL,2024-03-28,540644992.0,535871132.0,0.9911700652542066
AFL,2024-04-01,540644992.0,535871132.0,0.9911700652542066
AFL,2024-04-02,540644992.0,535871132.0,0.9911700652542066
AFL,2024-04-03,540644992.0,535871132.0,0.9911700652542066
AFL,2024-04-04,540644992.0,535871132.0,0.9911700652542066
AFL,2024-04-05,540644992.0,535871132.0,0.9911700652542066
AFL,2024-04-08,540644992.0,535871132.0,0.9911700652542066
AFL,2024-04-09,540644992.0,535871132.0,0.9911700652542066
AFL,2024-04-10,540644992.0,535871132.0,0.9911700652542066
AFL,2024-04-11,540644992.0,535871132.0,0.9911700652542066
AFL,2024-04-12,540644992.0,535871132.0,0.9911700652542066
AFL,2024-04-15,540644992.0,535871132.0,0.9911700652542066
AFL,2024-04-16,540644992.0,535871132.0,0.9911700652542066
AFL,2024-04-17,540644992.0,535871132.0,0.9911700652542066
AFL,2024-04-18,540644992.0,535871132.0,0.9911700652542066
AFL,2024-04-19,540644992.0,535871132.0,0.9911700652542066
AFL,2024-04-22,540644992.0,535871132.0,0.9911700652542066
AFL,2024-04-23,540644992.0,535871132.0,0.9911700652542066
AFL,2024-04-24,540644992.0,535871132.0,0.9911700652542066
AFL,2024-04-25,540644992.0,535871132.0,0.9911700652542066
AFL,2024-04-26,540644992.0,535871132.0,0.9911700652542066
AFL,2024-04-29,540644992.0,535871132.0,0.9911700652542066
AFL,2024-04-30,540644992.0,535871132.0,0.9911700652542066
AFL,2024-05-01,540644992.0,535871132.0,0.9911700652542066
AFL,2024-05-02,540644992.0,535871132.0,0.9911700652542066
AFL,2024-05-03,540644992.0,535871132.0,0.9911700652542066
AFL,2024-05-06,540644992.0,535871132.0,0.9911700652542066
AFL,2024-05-07,540644992.0,535871132.0,0.9911700652542066
AFL,2024-05-08,540644992.0,535871132.0,0.9911700652542066
AFL,2024-05-09,540644992.0,535871132.0,0.9911700652542066
AFL,2024-05-10,540644992.0,535871132.0,0.9911700652542066
AFL,2024-05-13,540644992.0,535871132.0,0.9911700652542066
AFL,2024-05-14,540644992.0,535871132.0,0.9911700652542066
AFL,2024-05-15,540644992.0,535871132.0,0.9911700652542066
AFL,2024-05-16,540644992.0,535871132.0,0.9911700652542066
AFL,2024-05-17,540644992.0,535871132.0,0.9911700652542066
AFL,2024-05-20,540644992.0,535871132.0,0.9911700652542066
AFL,2024-05-21,540644992.0,535871132.0,0.9911700652542066
AFL,2024-05-22,540644992.0,535871132.0,0.9911700652542066
AFL,2024-05-23,540644992.0,535871132.0,0.9911700652542066
AFL,2024-05-24,540644992.0,535871132.0,0.9911700652542066
AFL,2024-05-28,540644992.0,535871132.0,0.9911700652542066
AFL,2024-05-29,540644992.0,535871132.0,0.9911700652542066
AFL,2024-05-30,540644992.0,535871132.0,0.9911700652542066
AFL,2024-05-31,540644992.0,535871132.0,0.9911700652542066
AFL,2024-06-03,540644992.0,535871132.0,0.9911700652542066
AFL,2024-06-04,540644992.0,535871132.0,0.9911700652542066
AFL,2024-06-05,540644992.0,535871132.0,0.9911700652542066
AFL,2024-06-06,540644992.0,535871132.0,0.9911700652542066
AFL,2024-06-07,540644992.0,535871132.0,0.9911700652542066
AFL,2024-06-10,540644992.0,535871132.0,0.9911700652542066
AFL,2024-06-11,540644992.0,535871132.0,0.9911700652542066
AFL,2024-06-12,540644992.0,535871132.0,0.9911700652542066
AFL,2024-06-13,540644992.0,535871132.0,0.9911700652542066
AFL,2024-06-14,540644992.0,535871132.0,0.9911700652542066
AFL,2024-06-17,540644992.0,535871132.0,0.9911700652542066
AFL,2024-06-18,540644992.0,535871132.0,0.9911700652542066
AFL,2024-06-20,540644992.0,535871132.0,0.9911700652542066
AFL,2024-06-21,540644992.0,535871132.0,0.9911700652542066
AFL,2024-06-24,540644992.0,535871132.0,0.9911700652542066
AFL,2024-06-25,540644992.0,535871132.0,0.9911700652542066
AFL,2024-06-26,540644992.0,535871132.0,0.9911700652542066
AFL,2024-06-27,540644992.0,535871132.0,0.9911700652542066
